"Name","Abundance in Blood (uM)","Melting Point (°C)","Boiling Point (°C)","Solubility (mg/mL)","LogP","Monoisotopic Molecular Weight (Da)"
"Deoxypyridinoline","0.0007 +/- 0.00018","N/A","N/A","0.15 g/L","-4.14","412.19579927"
"Coproporphyrin III","0.006 (0.000 - 0.012)","N/A","N/A","0.031 g/L","2.53","654.268964212"
"Elaidic acid","100.00 (42.20 - 128.08)","42 - 44 °C","360.00 °C. @  760.00 mm Hg (est)","0.01151 mg/L @ 25 °C (est)","6.78","282.255880332"
"L-Cysteine","24-100","220 °C","N/A","277 mg/mL at 25 °C","-2.49","121.019749163"
"DL-Homocystine","9.8 +/- 2.8","263 - 265 °C","N/A","4.5 g/L","-4.15","268.05514839"
"Chondroitin sulfate","9.58 +/- 2.71","N/A","N/A","57.1 g/L","-2.05","N/A"
"3,5-Diiodothyronine","0.000016 +/- 0.000006","N/A","N/A","0.052 g/L","0.45","524.893394749"
"Potassium","3500-5000","63.2 °C","N/A","N/A","0.2","38.963706861"
"Sodium","144000.0 +/- 5700.0","97.82 °C","N/A","N/A","-0.77","22.989769675"
"PC(18:1(9Z)/18:1(9Z))","44.5 (37.6-53.3)","N/A","N/A","2.220E-05 g/L","5.78","785.593455181"
"Hydrogen carbonate","24900.0 +/- 1790.0","720 °C","N/A","12.8 mg/mL (cold water)","0.60","62.00039393"
"Sulfide","< 0.003","112 °C","N/A","N/A","-0.038","31.97207069"
"Chromium","0.0035 +/- 0.0013","1900 °C","N/A","N/A","-0.16","51.940511904"
"Galactosylhydroxylysine","0.061 +/- 0.008","257.0 °C","N/A","63.3 g/L","-3.05","324.153265754"
"Coprocholic acid","<0.1","N/A","N/A","0.022 g/L","3.12","450.334524582"
"D-2-Hydroxyglutaric acid","0.280-0.930","> 300 °C","N/A","157 g/L","-1.04","148.037173366"
"Cyanocobalamin",">0.000120","> 300 °C","N/A","12.5 mg/mL","1.87","1355.575230332"
"Cobalt","0.0031 +/- 0.0017","1495 °C","N/A","N/A","0.23","58.933200194"
"CE(18:2(9Z,12Z))","1506.38 +/- 204.89","N/A","677.30 °C. @  760.00 mm Hg (est)","1.653e-013 mg/L @ 25 °C (est)","18.170 (est)","648.584531687"
"Erythronic acid","2.0 (0.0-5.0)","100 - 102 °C","N/A","488 g/L","-2.11","136.037173366"
"D-Ribulose 5-phosphate","1.86 +/- 0.79","N/A","N/A","33.6 g/L","-1.81","230.01915384"
"Cholic acid","1.7 +/- 0.3","197 - 201 °C","N/A","0.175 mg/mL","2.02","408.28757439"
"Dodecanedioic acid","219.7 +/- 14.0","127 - 129 °C","393.98 °C. @  760.00 mm Hg (est)","0.04 mg/mL","2.920 (est)","230.151809192"
"Gluconic acid","<5","113 - 118 °C","N/A","316 mg/mL at 25 °C","-2.57","196.058302738"
"Deoxycholic acid","0.57 +/- 0.35","171 - 174 °C","N/A","0.0436 mg/mL","3.50","392.292659768"
"Cytosine","6.4 +/- 8.5","> 300 °C","N/A","8.0 mg/mL","-1.73","111.043261797"
"Succinylacetone","0.15 (0.00-0.30)","66 - 67 °C","N/A","2.579e+005 mg/L @ 25 °C (est)","-0.18","158.057908808"
"Chenodeoxycholic acid glycine conjugate","0.06 +/- 0.01","N/A","N/A","0.00315 mg/mL","2.12","449.314123491"
"Dodecanoic acid","12.0 (2.0-37.0)","44 - 46 °C","N/A","0.00481 mg/mL","4.60","200.177630012"
"L-Glutamine","380-780","185 °C","N/A","41.3 mg/mL","-3.64","146.069142196"
"Coproporphyrin I","0.0073 +/- 0.0035","N/A","N/A","0.031 g/L","2.53","654.268964212"
"Galactose 1-phosphate","31.0 (0.0-57.0)","N/A","N/A","32.3 g/L","-2.00","260.029718526"
"L-Arabinose","2.5 (0.0-5.0)","158 - 160 °C","415.00 to  416.00 °C. @  760.00 mm Hg (est)","500.0 mg/mL","-3.02","150.05282343"
"Decanoylcarnitine","0.26 +/- 0.11","N/A","N/A","350.7 mg/L @ 25 °C (est)","-0.85","315.240958547"
"Cholesterol sulfate","5.40 +/- 0.52","N/A","N/A","7.480E-05 g/L","3.27","466.31168065"
"Copper","14.71645(14.20635-15.22336)","1083 °C","N/A","N/A","0.16","62.929601079"
"CE(16:1(9Z))","118.74 +/- 45.54","N/A","655.26 °C. @  760.00 mm Hg (est)","3.516e-020 mg/L @ 25 °C (est)","17.265 (est)","622.568881623"
"D-Fructose","31.0 +/- 3.0","119 - 122 °C","N/A","778 mg/mL at 20 °C","-2.45","180.063388116"
"Glutaric acid","0.8 (0.0-1.8)","95.8 °C","303.00 °C. @  760.00 mm Hg","1600.0 mg/mL","-0.29","132.042258744"
"Fluoride","4.74 +/- 1.75","-219.61 °C","N/A","0.00169 mg/mL at 25 °C","0.15","18.998403205"
"L-Thyronine","0.29 +/- 0.084","255 °C","N/A","0.05 g/L","-0.27","273.100107973"
"ortho-Hydroxyphenylacetic acid","0.287 +/- 0.033","145 - 147 °C","N/A","44 mg/mL","0.85","152.047344122"
"Homo-L-arginine","2.00 +/- 0.60","213 - 215 °C","N/A","3.639e+005 mg/L @ 25 °C (est)","-3.73","188.127325776"
"Indolelactic acid","2.8 (0.5-5.0)","N/A","N/A","17 mg/mL","1.33","205.073893223"
"Linoleic acid","23.39 +/- 2.75","-8.5 °C","229.00 to  230.00 °C. @   16.00 mm Hg","0.03771 mg/L @ 25 °C (est)","7.05","280.240230268"
"PA(16:0/16:0)","0.186 +/- 0.037","161 - 165 °C","N/A","1.180E-04 g/L","8.66","648.47300618"
"Iodine","0.41 (0.25-0.57)","113.6 °C","N/A","0.33 mg/mL at 25 °C","2.49","253.80893684"
"L-Homocystine","<2","300 °C","N/A","0.2 mg/mL at 25 °C","-4.15","268.05514839"
"Isovalerylglycine","0.17 +/- 0.03","87 - 90 °C","N/A","6.5 g/L","0.35","159.089543287"
"Homocitrulline","5.0 (0.0-12.0)","211 - 212 °C","N/A","600 mg/mL","-3.13","189.111341361"
"Indoxyl sulfate","14.0 +/- 4.2","N/A","N/A","0.79 g/L","-0.48","213.009578407"
"L-Kynurenine","1.6 +/- 0.1","191 °C","N/A","1.67 g/L","-1.93","208.08479226"
"L-Leucine","70.0 +/- 25.0","268 - 288 °C","N/A","21.5 mg/mL","-1.52","131.094628665"
"Isovalerylcarnitine","<0.400","N/A","N/A","0.025 g/L","N/A","245.162708229"
"Malonic acid","15.0+/- 0.58","135 °C","N/A","763.0 mg/mL","-0.81","104.010958616"
"Fe2+","9766 +/- 1246","1538 °C","N/A","N/A","-0.77","55.934942133"
"Heparan sulfate","0.5 (0.0-1.0)","N/A","N/A","N/A","-2.18","639.008120351"
"L-2-Hydroxyglutaric acid","1.5 (0.0-1.5)","N/A","N/A","157 g/L","-1.04","148.037173366"
"Ketoleucine","28.0 (0.0-58.0)","8 - 10 °C","N/A","32 mg/mL","0.82","130.062994186"
"L-Methionine","25.0 (21.0-29.0)","284 °C","N/A","56.6 mg/mL","-1.87","149.051049291"
"Lithocholic acid glycine conjugate","0.009 (0.005-0.015)","N/A","N/A","0.0015 g/L","3.71","433.319208869"
"1-Methylnicotinamide","0.430 (0.007-0.850)","N/A","N/A","855 mg/mL","-3.72","137.07148792"
"Hydroxypropionic acid","6-8","< 25 °C","N/A","647 g/L","-0.95","90.031694058"
"Aspartylphenylalanine","0.018 +/- 0.004","236 - 239 °C","N/A","1.14 g/L","-2.43","280.105921632"
"4-Hydroxyphenylpyruvic acid","0.37 +/- 0.23","219 - 220 °C","N/A","1.49 g/L","1.12","180.042258744"
"Glycoursodeoxycholic acid","0.1(0-0.4)","N/A","N/A","0.00135 mg/mL","2.02","449.314123491"
"L-Cysteinylglycine disulfide","13.6 +/- 3.6","N/A","N/A","6.47 g/L","-3.97","297.045311985"
"4-Hydroxybutyric acid","1.200 +/- 1.2(0-3.2)","N/A","N/A","494 g/L","-0.63","104.047344122"
"Hippuric acid","3.0 (0.0-5.0)","187 - 191 °C","N/A","3.75 mg/mL","0.31","179.058243159"
"Kynurenic acid","0.023 +/- 0.010","280 °C","N/A","0.95 g/L","N/A","189.042593095"
"L-Pipecolic acid","10.0 (0.0-20.0)","272 °C","N/A","7.406e+004 mg/L @ 25 °C (est)","-2.17","129.078978601"
"Isovaleric acid","1.6 (0.3-2.7)","-29.3 °C","175.00 to  177.00 °C. @  760.00 mm Hg","40.7 mg/mL","1.16","102.068079564"
"L-Homoserine","12.0 (11.3-17.0)","203 °C","368.72 °C. @  760.00 mm Hg (est)","1000.0 mg/mL","-1.289 (est)","119.058243159"
"Lithocholyltaurine","0.614 +/- 0.013","212 - 213 °C","N/A","2.770E-04 g/L","2.10","483.301844727"
"4-Hydroxyproline","<91000","274 - 275 °C","N/A","361 mg/mL at 25 °C","-3.17","131.058243159"
"alpha-Hydroxyisobutyric acid","8.2","82.5 °C","212.00 °C. @  760.00 mm Hg","1e+006 mg/L @ 25 °C (est)","-0.36","104.047344122"
"Hydroxykynurenine","0.05 (0.00-0.10)","217 °C","N/A","3.33 g/L","-2.09","224.079706882"
"Isobutyryl-L-carnitine","0.069 (0.015-0.203)","N/A","N/A","0.058 g/L","-2.13","232.154334613"
"Lactulose","0.12 (0.12-0.13)","169 °C","680.54 °C. @  760.00 mm Hg (est)","764.0 mg/mL","-4.3","342.116211546"
"Homocysteine","9.4 (7.3-16.2)","232 - 233 °C","N/A","148 mg/mL","-2.29","135.035399227"
"Hydroxyisocaproic acid","<0.7","78 - 80 °C","251.31 °C. @  760.00 mm Hg (est)","1.655e+005 mg/L @ 25 °C (est)","0.710","132.07864425"
"L-Xylulose","9.0 +/- 12.0","N/A","N/A","678 g/L","-2.20","150.052823422"
"3-Hydroxyisovaleric acid","4.0 (0.0 - 10.0)","65 - 67 °C","N/A","384 g/L","6.300","118.062994186"
"Hydroxyphenyllactic acid","0.64 +/- 0.24","N/A","414.40 °C. @  760.00 mm Hg (est)","12.9 mg/mL at 16 °C","0.310 (est)","182.057908808"
"Hexanoylcarnitine","0.080 +/- 0.006","N/A","N/A","0.0043 g/L","-1.68","260.186183325"
"Glycogen","39.1 +/-  3.1","270 - 280 °C","N/A","343 g/L","-2.67","666.221858406"
"Lithocholic acid","0.08 +/- 0.02","186 °C","511.00 °C. @  760.00 mm Hg (est)","0.000377 mg/mL","6.700 (est)","376.297745146"
"5-Hydroxyindoleacetic acid","0.0516 +/- 0.0068","161 - 163 °C","N/A","24 mg/mL","1.28","191.058243159"
"Hydrocinnamic acid","0.553 +/- 0.109","45 - 48 °C","280.00 °C. @  760.00 mm Hg","5.9 mg/mL","1.84","150.068079564"
"Mannitol","<7.143","166 °C","290.00 to  295.00 °C. @  760.00 mm Hg","216 mg/mL at 25 °C","-3.10","182.07903818"
"Pseudouridine","2.0492 +/- 23.770","N/A","N/A","63.8 g/L","-2.01","244.069536126"
"Pregnenolone sulfate","0.13 +/- 0.06","N/A","N/A","0.0013 g/L","0.98","396.197044824"
"Azelaic acid","27.0 (0.0-58.0)","106.5 °C","N/A","2.4 mg/mL","1.57","188.104859"
"Oxypurinol","50.0 (0.5-100.0)","300 °C","N/A","4.58 g/L","-2.01","152.033425392"
"Orotidine","4.167 +/- 5.556","> 400 °C","N/A","44.7 g/L","-2.04","288.05936537"
"Octanoylcarnitine","0.23 +/- 0.08","N/A","N/A","8.500E-04 g/L","-1.22","288.217483453"
"Sebacic acid","0.091(0.072-0.11)","130.8 °C","364.00 to  365.00 °C. @  760.00 mm Hg","1.0 mg/mL","1.706 (est)","202.120509064"
"Pristanic acid","<3.000","N/A","N/A","0.003467 mg/L @ 25 °C (est)","6.90","298.287180464"
"Phytanic acid","4.8 (0.0-9.6)","N/A","N/A","0.001092 mg/L @ 25 °C (est)","7.28","312.302830524"
"Myristic acid","25.0 (8.0-70.0)","53.9 °C","N/A","0.00107 mg/mL","6.11","228.20893014"
"3-Phosphoglyceric acid","58.2 +/- 14.4","N/A","N/A","21 g/L","-2.26","185.99293909"
"Normetanephrine","0.00035 +/- 0.00016","204 °C","N/A","8.44 g/L","-1.05","183.089543287"
"Propyl alcohol","0.33 (0.00-0.80)","-126.1 °C","N/A","1000.0 mg/mL","0.25","60.057514878"
"Propionylcarnitine","0.31 +/- 0.15","N/A","N/A","0.15 g/L","-2.27","218.138684548"
"Pentadecanoic acid","1.34 +/- 0.91","52.3 °C","N/A","3.340E-04 g/L","6.65","242.224580204"
"Stearic acid","85 (31-470)","68.8 °C","N/A","0.000597 mg/mL","8.23","284.271530396"
"Neuraminic acid","0.57 +/- 1.26","180.0 - 182.0 °C","N/A","255 g/L","-3.30","267.095416525"
"Salicyluric acid","1.000 +/- 0.015","168 °C","N/A","4.04 g/L","0.95","195.053157781"
"Neopterin","0.0060 +/- 0.0016","N/A","N/A","6.26 g/L","-1.75","253.081103865"
"Stearoylcarnitine","0.04 +/- 0.01","N/A","N/A","1.010E-05 g/L","2.62","428.373435514"
"beta-Sitosterol","22.8 +/- 6.7","140 °C","498.00 to  501.00 °C. @  760.00 mm Hg (est)","10 mg/mL","10.482 (est)","414.38616623"
"Pimelic acid","0.21 (0.11-0.31)","103 - 106 °C","342.00 °C. @  760.00 mm Hg","50.0 mg/mL","0.61","160.073558872"
"Isopropyl alcohol","83.3 +/- 132.8","N/A","N/A","1000.0 mg/mL","0.05","60.057514878"
"Histamine","0.00067 (0.00031-0.00220)","86 °C","380.29 °C. @  760.00 mm Hg (est)","1e+006 mg/L @ 25 °C (est)","-0.70","111.079647303"
"Tetradecanedioic acid","0.11(0.078-0.19)","N/A","N/A","0.2 mg/mL","3.63","258.18310932"
"Tauroursodeoxycholic acid","2.0 (0.1-4.0)","N/A","N/A","0.0075 g/L","1.38","499.296758867"
"Vitamin D3","0.0060 +/- 0.0042","84.5 °C","N/A","3.800E-04 g/L","7.98","384.33921603"
"Ergosterol","0.009326 (0.003782-0.014870)","170 °C","501.50 °C. @  760.00 mm Hg (est)","16 mg/mL","9.300 (est)","396.339216037"
"Tetrahydrodeoxycorticosterone","0.0052 +/- 0.0010","N/A","N/A","0.026 g/L","3.52","334.250794954"
"Xanthurenic acid","0.022 +/- 0.001","289 °C","N/A","1.63 g/L","2.01","205.037507717"
"L-Valine","212.3 +/- 61.3","295 - 300 °C","N/A","58.5 mg/mL","-2.26","117.078978601"
"Ribothymidine","0.200 +/- 0.098","183 - 187 °C","N/A","135 g/L","-1.71","258.08518619"
"CE(16:0)","405.46 +/- 56.51","75 - 77 °C","651.50 °C. @  760.00 mm Hg (est)","7.053e-013 mg/L @ 25 °C (est)","18.140 (est)","624.584531676"
"Undecanedioic acid","0.44(0.28-0.54)","108 - 110 °C","N/A","5.1 mg/mL","2.41","216.136159128"
"Valeric acid","0.6 (0.3-1.2)","-34 °C","N/A","24.0 mg/mL","1.39","102.068079564"
"Suberic acid","3.6 (0.0-10.0)","144 °C","345.50 °C. @  760.00 mm Hg","11.9 mg/mL","0.687 (est)","174.089208936"
"Taurodeoxycholic acid","0.062 (0.000-0.177)","204 - 208 °C","N/A","41 mg/mL","1.19","499.296758867"
"7-Methylguanine","0.129 +/- 0.024","370 °C","N/A","6.12 g/L","-0.62","165.065059871"
"1-Methylhistamine","0.00034 (0.00021-0.00047)","N/A","N/A","5.12 g/L","-0.57","125.095297367"
"Androstanedione","0.00036 (0.00020-0.00070)","133.5 - 134.0 °C","N/A","0.0074 g/L","3.40","288.20893014"
"Ergocalciferol","0.003 (0.000-0.007)","116.5 °C","N/A","0.05 mg/mL","7.59","396.33921603"
"NAD","24.3 (23.0-25.6)","140.0 - 142.0 °C","N/A","752.5 mg/mL","-1.20","663.109121631"
"Citrulline","10-60","235.5 °C","N/A","212 mg/mL","-3.19","175.095691297"
"Trimethylamine","0.42 +/- 0.12","-117.1 °C","N/A","890.0 mg/mL","0.16","59.073499293"
"Sulfolithocholic acid","1.6 +/- 0.1","N/A","N/A","5.200E-04 g/L","1.39","456.254559702"
"5alpha-Cholestanol","9.26 +/- 5.40","140.0 - 142.0 °C","455.53 °C. @  760.00 mm Hg (est)","0.0003391 mg/L @ 25 °C (est)","10.065 (est)","388.370516158"
"CE(18:1(9Z))","704.47 +/- 129.59","94 °C","675.44 °C. @  760.00 mm Hg (est)","3 mg/mL","18.284 (est)","650.600181752"
"Cholestenone","0.079 +/- 0.022","79 - 82 °C","N/A","2.270E-05 g/L","6.57","384.33921603"
"Trimethylamine N-oxide","38.81 +/- 20.37","95 - 99 °C","N/A","454 mg/mL","-2.570","75.068413915"
"L-Tryptophan","54.5 +/- 9.7","230 °C","N/A","13.4 mg/mL at 25 °C","-1.06","204.089877638"
"Uroporphyrin I","0.0006 (0.0000-0.0012)","N/A","N/A","0.037 g/L","0.76","830.228281188"
"Stigmasterol","11.15 (0.24-55.00)","170 °C","N/A","2.730E-05 g/L","6.95","412.370516166"
"S-Adenosylhomocysteine","0.46 +/- 0.02","209 - 211 °C","N/A","4.08 g/L","-2.37","384.12158847"
"Behenic acid","0.160 +/- 0.007","81 °C","391.00 to  392.00 °C. @  760.00 mm Hg (est)","1.6e-05 mg/mL","9.910","340.334130652"
"Ursodeoxycholic acid","0.16 +/- 0.03","203 °C","N/A","0.02 mg/mL","3.00","392.292659768"
"Cer(d18:1/23:0)","0.281 +/- 0.033","N/A","N/A","2.360E-05 g/L","10.29","635.621645463"
"Taurochenodesoxycholic acid","0.30 +/- 0.08","N/A","N/A","0.0075 g/L","1.38","499.296758867"
"Ferulic acid","0.053 +/- 0.017","168 - 171 °C","372.00 to  373.00 °C. @  760.00 mm Hg (est)","5970 mg/L @ 25 °C (est)","1.51","194.057908808"
"Isoferulic acid","0.128 +/- 0.018","228 - 233 °C","409.00 to  411.00 °C. @  760.00 mm Hg","7191 mg/L @ 25 °C (est)","0.788 (est)","194.057908808"
"Pyrocatechol","0.665 +/- 0.093","105 °C","N/A","461.0 mg/mL","0.88","110.036779436"
"Farnesyl pyrophosphate","0.0086 (0.0000-0.0170)","N/A","N/A","0.081 g/L","2.40","382.131027238"
"Acetaldehyde","1.0 +/- 0.2","-123 °C","N/A","1000.0 mg/mL","-0.34","44.02621475"
"3-Sulfinoalanine","1.38 +/- 0.28","N/A","N/A","54.6 g/L","-2.06","153.009578407"
"dCTP","29.0 +/- 19.0","N/A","N/A","11.8 g/L","-0.52","466.989597149"
"dUDP","0.5 +/- 0.1","N/A","N/A","8.03 g/L","-0.99","388.007282324"
"Dehydroepiandrosterone sulfate","3.47 +/- 1.20","N/A","N/A","0.0081 g/L","0.49","368.165744696"
"Angiotensin II","0.0000086-0.000045","N/A","N/A","0.016 g/L","-0.87","1045.534514801"
"Arachidonic acid","2.94 +/- 0.058","N/A","N/A","1.510E-04 g/L","6.98","304.240230268"
"Enkephalin L","0.00030 (0.00018-0.00056)","N/A","N/A","0.015 g/L","-1.05","555.269298563"
"Cotinine","0.000284 (0.000267-0.000426)","41 °C","N/A","117 g/L","0.07","176.094963016"
"gamma-Glutamylcysteine","3.05 +/- 0.11","N/A","N/A","2.62 g/L","-2.53","250.062342258"
"Glyceraldehyde","1476.0 +/- 655.0","145 °C","N/A","17 mg/mL","-1.63","90.031694058"
"Dihydrofolic acid","0.005 +/- 0.001","N/A","N/A","0.12 g/L","-0.93","443.155331439"
"Fructose 1,6-bisphosphate","3.8 +/- 0.7","N/A","N/A","94 mg/mL","-1.51","339.996048936"
"Ubiquinol 8","0.400 +/- 0.120","N/A","N/A","3.450E-04 g/L","9.35","728.57436092"
"2-Hydroxyphenethylamine","0.00033 +/- 0.00023","56.5 °C","N/A","45.8 mg/mL","0.31","137.084063979"
"N-Acetylaspartylglutamic acid","4.89 +/- 0.12","N/A","N/A","3.29 g/L","-1.10","304.090665483"
"D-Sedoheptulose 7-phosphate","1.15 +/- 0.66","N/A","N/A","30.7 g/L","-2.26","290.040283681"
"Coenzyme Q10","1.17 +/- 0.12","N/A","N/A","1.930E-04 g/L","9.94","862.683911368"
"Leukotriene B4","0.000037 +/- 0.000007","N/A","N/A","0.015 g/L","5.46","336.230059512"
"Glyceraldehyde 3-phosphate","4.8 +/- 1.6","N/A","N/A","20.5 g/L","-1.69","169.998024468"
"2-Aminobenzoic acid","0.001 +/- 0.000046","146.5 °C","N/A","3.5 mg/mL","1.21","137.047678473"
"Prostaglandin F2a","0.000053 +/- 0.000012","30 °C","N/A","0.12 g/L","4.39","354.240624198"
"5-Aminolevulinic acid","0.35 +/- 0.09","156 - 158 °C","N/A","1000 mg/mL at 25 °C","-2.85","131.058243159"
"Tricosanoic acid","0.033 +/- 0.004","77.0 - 79.0 °C","N/A","1.895e-005 mg/L @ 25 °C (est)","9.39","354.349780716"
"4-Trimethylammoniobutanoic acid","10.0 (0.5-20.0)","N/A","N/A","0.33 g/L","-3.15","145.110278729"
"Keratan","0.14 (0.01-0.30)","N/A","N/A","24.9 g/L","-2.46","1052.10730021"
"Pyruvaldehyde","110.0 +/- 77.0","< 25 °C","N/A","180 g/L","-0.38","72.021129372"
"4-Aminophenol","10.00 (0.03-20.00)","187.50 °C. @  760.00 mm Hg","187.5 °C","16.0 mg/mL","0.04","109.052763851"
"Lathosterol","9.9 +/- 7.0","122.0 °C","N/A","3.500E-05 g/L","7.40","386.354866094"
"S-Adenosylmethionine","0.0550-0.116","N/A","78 °C","1.19e+00 g/l","-5.3","399.145063566"
"Leukotriene C4","0.000047 +/- 0.000023","N/A","N/A","0.0025 g/L","0.04","625.303300807"
"Guanosine diphosphate","15.0 +/- 2.0","N/A","N/A","4.44 g/L","-1.51","443.024329371"
"Prostaglandin E2","0.000037 +/- 0.000012","67 °C","N/A","0.044 g/L","2.82","352.224974134"
"N-Acetylserotonin","0.0054","N/A","N/A","0.57 g/L","0.98","218.105527702"
"15-Keto-13,14-dihydroprostaglandin A2","0.000130 +/- 0.000059","N/A","N/A","0.012 g/L","4.13","334.214409448"
"Aluminum","0.1 +/- 0.056","660 °C","N/A","N/A","1.45","26.981538441"
"FAD","0.061 (0.044-0.078)","N/A","N/A","5 mg/mL","-0.78","785.157134455"
"Lanosterol","0.48 +/- 0.114","140.5 °C","N/A","3.760E-04 g/L","7.72","426.386166222"
"Spermine","9.97 +/- 3.26","29 °C","N/A","2.19 g/L","-0.66","202.215746852"
"Spermidine","10.3 +/- 3.78","< 25 °C","N/A","32.7 g/L","-0.62","145.157897623"
"Allysine","<0.2","N/A","N/A","49.4 g/L","-2.20","145.073893223"
"Dehydroascorbic acid","2.32 +/- 0.78","N/A","N/A","190 g/L","-1.17","174.016437924"
"Guanosine triphosphate","56.0 +/- 7.0","N/A","N/A","10.4 g/L","-0.63","522.990659781"
"N1-Acetylspermidine","0.007 +/- 0.002","N/A","N/A","4.72 g/L","-0.47","187.168462309"
"2,3-Diphosphoglyceric acid","530.0 +/- 800.0","N/A","N/A","9.69 g/L","-1.55","265.9592695"
"Molybdenum","0.0094 +/- 0.005 ","2622 °C","N/A","N/A","0","97.905407846"
"D-Alanine","444.61(116.67)","292 °C","N/A","165.0 mg/mL","-2.912","89.047678473"
"D-Lactic acid","11.0 +/- 1.2","52.8 °C","N/A","562 g/L","-0.79","90.031694058"
"Cyclic GMP","0.0055 +/- 0.0003","N/A","N/A","3.79 g/L","-1.98","345.047434275"
"Phosphorus","11900.0 (10100.0-14300.0)","44.1 °C","N/A","N/A","0.3","30.973761512"
"Rubidium","1.17-3.18","39 °C","N/A","N/A","0","84.911789341"
"Manganese","0.0070 - 0.0190","1244 °C","N/A","N/A","-0.16","54.938049636"
"3,4-Dihydroxybenzeneacetic acid","0.019 +/- 0.009","168 °C","N/A","4 mg/mL","0.98","168.042258744"
"ADP","160.0 +/- 14.0","N/A","N/A","3.27 g/L","-1.65","427.029414749"
"SM(d18:1/18:0)","6.90-38.0","N/A","N/A","4.340E-05 g/L","5.47","730.598875399"
"Selenium","0.95-2.10","221 °C","N/A","N/A","N/A","79.916521828"
"Retinal","0.155 +/- 0.232","63 °C","N/A","0.0042 g/L","6.62","284.214015518"
"Carbon monoxide","72.0 +/- 25.0","-56.5 °C","N/A","1.48 mg/mL at 25 °C","0.83","27.99491462"
"Oxygen","6960.0 +/- 410.0","-218.4 °C","N/A","37.5 mg/mL at 21 °C","0.65","31.989829244"
"Sphinganine 1-phosphate","0.097 +/- 0.015","N/A","N/A","0.0057 g/L","3.80","381.264409907"
"alpha-Linolenic acid","7.183 +/- 3.592","-16.5 °C","N/A","2.660E-04 g/L","6.46","278.224580204"
"Melatonin","0.00019 +/- 0.00015","117 °C","N/A","0.14 g/L","N/A","232.121177766"
"Hydroxycotinine","0.25 +/- 0.045","N/A","N/A","47.7 g/L","-1.45","192.089877638"
"p-Aminobenzoic acid","15.0 (5.01-32.0)","188.5 °C","339.00 to  340.00 °C. @  760.00 mm Hg (est)","6.11 mg/mL","0.83","137.047678473"
"Heparin","5.193 +/- 1.635","N/A","N/A","1.08e+01 g/L","-13.2","N/A"
"5-Methyltetrahydrofolic acid","0.3 (0.094-0.7)","N/A","N/A","0.35 g/L","-1.26","459.186631567"
"Guanosine monophosphate","0.0099 +/- 0.0024","N/A","N/A","369 mg/mL","-1.99","363.057998961"
"Guaiacol","8.5 +/- 1.0","28 °C","N/A","18.7 mg/mL at 15 °C","1.32","124.052429498"
"Glucose 6-phosphate","4.52 +/- 8.7","N/A","N/A","31.4 g/L","-2.06","260.029718526"
"Prostaglandin D2","0.0002 +/- 0.000065","56 - 57 °C","N/A","0.086 g/L","3.12","352.224974134"
"Niacinamide","0.03 +/- 0.01","130 °C","N/A","500 mg/mL at 25 °C","-0.37","122.048012824"
"Cotinine N-oxide","0.000017 +/- 0.000006","N/A","N/A","11 g/L","-0.66","192.089877638"
"Putrescine","0.060-0.420","27.5 °C","N/A","236 g/L","-0.70","88.100048394"
"24-Hydroxycholesterol","0.049 +/- 0.002","N/A","N/A","4.030E-04 g/L","5.70","402.349780716"
"25,26-dihydroxyvitamin D","0.00168 (0.000480-0.00288)","N/A","N/A","0.0078 g/L","5.14","416.329045274"
"Estrone sulfate","0.0051 +/- 0.00045","254.5 °C","N/A","0.0059 g/L","0.29","350.118794504"
"Formaldehyde","13.3-19.3","-92 °C","-19.50 °C. @  760.00 mm Hg (est)","400 mg/mL at 20 °C","0.35","30.010564686"
"Phosphate","379.1 +/- 31.6","41.00 to   44.00 °C. @  760.00 mm Hg","158.00 °C. @  760.00 mm Hg","1000 mg/mL","-2.150","97.976895096"
"Pyridoxamine","0.164 +/- 0.038","N/A","N/A","815 mg/mL","-1.23","168.089877638"
"3-Methoxytyrosine","0.089 +/- 0.032","N/A","N/A","2.96 g/L","-2.09","211.084457909"
"25-Hydroxyvitamin D2","0.0023 +/- 0.00033","N/A","N/A","0.002 g/L","6.53","412.334130652"
"Prostaglandin E1","<0.0001","115 - 116 °C","N/A","0.079 g/L","3.20","354.240624195"
"Sulfate","215.5 +/- 3.3","N/A","N/A","N/A","-0.84","97.967379242"
"Allopregnanolone","0.01 +/- 0.003","177 °C","N/A","0.0014 g/L","4.28","318.255880332"
"(R)-Lipoic acid","0.077 +/- 0.017","60.5 °C","N/A","0.22 g/L","2.75","206.043521072"
