"Name","Abundance in Blood (uM)","Melting Point (°C)","Boiling Point (°C)","Solubility (mg/mL)","LogP","Monoisotopic Molecular Weight (Da)"
"TG(18:1(9Z)/18:1(9Z)/18:2(9Z,12Z))","68.5 +/- 10.3","N/A","N/A","6.420E-06 g/L","10.78","882.767641004"
"TG(18:1(9Z)/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","23.5 +/- 2.6","N/A","N/A","7.950E-06 g/L","10.76","906.767641004"
"TG(18:1(9Z)/18:2(9Z,12Z)/18:2(9Z,12Z))","53.6 +/- 6.0","N/A","N/A","6.260E-06 g/L","10.74","880.75199094"
"TG(18:2(9Z,12Z)/18:2(9Z,12Z)/18:2(9Z,12Z))","36.5 +/- 2.6","N/A","816.55 °C. @  760.00 mm Hg (est)","9.967e-020 mg/L @ 25 °C (est)","22.158 (est)","878.736340868"
"Tuftsin","0.56 +/- 0.14","N/A","N/A","0.25 g/L","-3.31","500.307081052"
"Glycitein","0.0005 (0.00045- 0.00052)","N/A","547.40 °C. @  760.00 mm Hg (est)","542.1 mg/L @ 25 °C (est)","2.570 (est)","284.068473486"
"Hesperetin","0.0222 +/- 0.0449","227.5 °C","N/A","0.14 g/L","2.60","302.07903818"
"Hydroxytyrosol","0.16 +/- 0.084","N/A","355.40 °C. @  760.00 mm Hg (est)","2.716e+005 mg/L @ 25 °C (est)","0.020 (est)","154.062994186"
"Tetrahydrocurcumin","16.0 +/- 0.2","95 - 97 °C","564.07 °C. @  760.00 mm Hg (est)","9.434 mg/L @ 25 °C (est)","2.728 (est)","372.1572885"
"Sulforaphane","0.54 +/- 0.11","N/A","368.00 to  369.00 °C. @  760.00 mm Hg (est)","1.382e+004 mg/L @ 25 °C (est)","0.407 (est)","177.028205359"
"Quercetin","0.0229 +/- 0.0166","316 - 318 °C","642.00 to  643.00 °C. @  760.00 mm Hg (est)","0.06 mg/mL at 16 °C","1.989 (est)","302.042652674"
"Luteolin","0.0999 +/- 0.0977","329.5 °C","616.00 to  617.00 °C. @  760.00 mm Hg (est)","387.5 mg/L @ 25 °C (est)","2.53","286.047738052"
"Kaempferol","0.0106 +/- 0.00789","285 - 287 °C","582.00 to  583.00 °C. @  860.00 mm Hg (est)","1191 mg/L @ 25 °C (est)","2.685 (est)","286.047738052"
"Gallic acid","0.008 +/- 0.005","258 - 265 °C","501.00 °C. @  760.00 mm Hg","11.9 mg/mL at 20 °C","0.70","170.021523293"
"Eugenol","6.5 +/- 0.03","-12.00 to  -10.00 °C. @  760.00 mm Hg","252.00 to  253.00 °C. @  760.00 mm Hg","754 mg/L @ 25 °C (est)","2.270","164.083729628"
"Allyl isothiocyanate","0.14 +/- 0.098","-80 °C","150.00 to  152.00 °C. @  760.00 mm Hg","2 mg/mL at 20 °C","2.150","99.014269855"
"N4-Acetylcytidine","0.200 +/- 0.0600","N/A","N/A","1e+006 mg/L @ 25 °C (est)","-1.35","285.096085227"
"Lithium","0.040-0.240","190 °C","N/A","N/A","0","7.016004049"
"D-Pipecolic acid","0.11 +/- 0.10","266 - 268 °C","265.80 °C. @  760.00 mm Hg (est)","7.406e+004 mg/L @ 25 °C (est)","-2.17","129.078978601"
"Hexanal","0.22 +/- 0.11","-56 °C","130.00 to  131.00 °C. @  760.00 mm Hg","5.64 mg/mL at 30 °C","1.78","100.088815006"
"20-Hydroxyeicosatetraenoic acid","0.00177 +/- 0.00043","N/A","N/A","0.0012 g/L","5.87","320.23514489"
"20-Carboxy-leukotriene B4","<0.001","N/A","N/A","0.045 g/L","3.17","366.204238692"
"scyllo-Inositol","0.026 (0.0026-0.321)","353 °C","N/A","10.1 mg/mL at 18 °C","-2.59","180.063388116"
"3-Methylsulfinylpropyl isothiocyanate","0.09 +/- 0.08","N/A","N/A","2.87 g/L","0.69","163.012555295"
"Enterolactone","0.0091","N/A","N/A","0.022 g/L","3.20","298.12050906"
"12-HETE","0.00422 +/- 0.000292","N/A","N/A","0.0017 g/L","5.86","320.23514489"
"Malondialdehyde","2.71 +/- 0.50","72 °C","108.30 °C. @  760.00 mm Hg (est)","1e+006 mg/L @ 25 °C (est)","-0.390 (est)","72.021129372"
"APGPR Enterostatin","1.26 +/- 0.258","N/A","N/A","0.73 g/L","-3.04","496.275780924"
"7beta-Hydroxycholesterol","0.011 +/- 0.0027","N/A","N/A","4.760E-04 g/L","5.61","402.349780716"
"13-cis-Retinoic acid","0.003 +/- 0.001","N/A","N/A","0.0048 g/L","5.66","300.20893014"
"17-beta-Estradiol-3-glucuronide","0.000023+/-0.000026","N/A","N/A","0.35 g/L","1.46","448.209718"
"18-Hydroxyarachidonic acid","0.000273 +/- 0.000047","N/A","N/A","0.002 g/L","5.81","320.23514489"
"25-Hydroxycholesterol","0.02 +/- 0.003","172 - 173 °C","N/A","2.440E-04 g/L","5.95","402.349780716"
"Dopamine 3-O-sulfate","0.0265 +/- 0.011","268 - 270 °C","N/A","4.06 g/L","-1.22","233.035793157"
"trans-Hexadec-2-enoyl carnitine","0.005 (0.0-0.044)","N/A","N/A","9.490E-06 g/L","1.44","397.319208869"
"alpha-Tocotrienol","4.23 +/- 0.7","N/A","N/A","2.720E-04 g/L","7.70","424.334130652"
"beta-Tocopherol","0.20 (0.00-0.48)","< 25 °C","N/A","7.260E-06 g/L","8.81","416.36543078"
